Cell line	Cancer cell line	Primary disease	Disease subtype	Primary/Metastasis	Patient	Sample collection site	Cellosaurus ID
HCC4011	Yes	Lung cancer					CVCL_S700
HCC4017	Yes	Lung cancer					CVCL_V579
HCC44	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 54	Lung	CVCL_2060
HCC461	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma		Male, 69	Lung	CVCL_5135
HCC515	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma		Female, 39	Lung	CVCL_5136
HCC630	Yes	Ovarian cancer					CVCL_V729
HCC70	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 49	Breast	CVCL_1270
HCC78	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 65	Pleural effusion	CVCL_2061
HCC827	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 39	Lung	CVCL_2063
HCC827 GR5	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 39	Lung	CVCL_V622
HCC89	Yes	Kidney cancer	Rel Cell Carcinoma				CVCL_V731
HCC95	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Metastasis	Male, 65	Pleural effusion	CVCL_5137
HCT 116	Yes	Colorectal cancer	Adenocarcinoma	Primary	Male, 48	Large intestine	CVCL_0291
HCT 15	Yes	Colorectal cancer	Adenocarcinoma	Primary	Male, 67	Large intestine	CVCL_0292
HD-MY-Z	No	Uncategorized	Acute Myeloid Leukemia		Male, 29	Pleural effusion	CVCL_1273
HDLM-2	Yes	Lymphoma			Male, 74	Pleural effusion	CVCL_0009
HDQ-P1	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 50	Breast	CVCL_2067
HEC-1-A	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 71	Endometrium	CVCL_0293
HEC-1-B	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 71	Endometrium	CVCL_0294
HEC-108	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female	Endometrium	CVCL_2923
HEC-151	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female	Endometrium	CVCL_2925
HEC-251	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 53	Endometrium	CVCL_2927
HEC-265	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 59	Endometrium	CVCL_2928
HEC-50B	Yes	Uterine cancer	Endometrial Adenocarcinoma	Metastasis	Female	Ascites	CVCL_2929
HEC-59	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female	Endometrium	CVCL_2930
HEC-6	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 48	Endometrium	CVCL_2931
HEK TE	No	Non-cancerous			Female	Kidney	CVCL_WS59
HEK293	No	Non-cancerous			Female		CVCL_0045
HEL	Yes	Leukemia			Male, 30	Haematopoietic and lymphoid tissue	CVCL_0001
HEL 92.1.7	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)		Male, 30	Bone marrow	CVCL_2481
HeLa	Yes	Cervical cancer			Female, 31	Cervix	CVCL_0030
Hep 3B2.1-7	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 8	Liver	CVCL_0326
Hep-G2	Yes	Liver cancer		Primary	Male, 15	Liver	CVCL_0027
HEY	Yes	Ovarian cancer	Adenocarcinoma, high grade serous			Ovary	CVCL_0297
HEY A8	Yes	Ovarian cancer	Adenocarcinoma, low grade serous	Metastasis	Female	Ascites	CVCL_8878
HGC-27	Yes	Gastric cancer	Adenocarcinoma	Metastasis		Lymph node	CVCL_1279
HH [Human lymphoma]	Yes	Lymphoma	T-cell, Non-Hodgkins, Cutaneous		Male, 61	Haematopoietic and lymphoid tissue	CVCL_1280
HHSteC	No	Uncategorized					
HL-60	Yes	Leukemia		Primary	Female, 35	Haematopoietic and lymphoid tissue	CVCL_0002
HLF	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 68	Liver	CVCL_2947
HLF-a	No	Non-cancerous	Lung	Primary	Female, 54	Fibroblast	CVCL_2255
HMC-1	Yes	Leukemia			Male, 52		CVCL_0003
HMC-1-8	Yes	Breast cancer	Carcinoma	Metastasis	Female, 35	Pleural effusion	CVCL_2949
HMCB	Yes	Skin cancer	Melanoma	Primary	Female, 57	Skin	CVCL_3317
HMEL	No	Non-cancerous			Female	Breast	CVCL_IZ34
HMY-1	Yes	Skin cancer	Melanoma	Metastasis	62	Lymph_node	CVCL_2950
HN	Yes	Head and Neck cancer	Squamous Cell Carcinoma, oral	Metastasis	60	Lymph_node	CVCL_1283
HNT-34	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)		Female, 47	Haematopoietic and lymphoid tissue	CVCL_2071
HOP-62	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 60	Lung	CVCL_1285
HOP-92	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	Primary	Male, 62	Lung	CVCL_1286
HOS	Yes	Bone cancer	Osteosarcoma	Primary	Female, 13	Bone	CVCL_0312
HPAC	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Female, 64	Pancreas	CVCL_3517
HPAF-II	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Male, 44	Ascites	CVCL_0313
HPB-ALL	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	Primary	Male, 14	Haematopoietic and lymphoid tissue	CVCL_1820
Hs 172.T	No	Non-cancerous	Bladder		Male, 50	Fibroblast	CVCL_0660
Hs 229.T	No	Non-cancerous	Lung	Primary	Male, 65	Fibroblast	CVCL_0698
Hs 255.T	No	Non-cancerous	Colorectal		Female, 46	Fibroblast	CVCL_0707
Hs 274.T	No	Non-cancerous	Breast		Female, 66	Fibroblast	CVCL_0711
Hs 281.T	No	Non-cancerous	Breast		Female, 37	Fibroblast	CVCL_0715
Hs 294T	Yes	Skin cancer	Melanoma	Metastasis	Male, 56	Lymph node	CVCL_0331
Hs 343.T	No	Non-cancerous	Breast		Female, 47	Fibroblast	CVCL_0726
Hs 38.T	Yes	Ovarian cancer					CVCL_0735
Hs 578T	Yes	Breast cancer	Carcinoma	Primary	Female, 74	Breast	CVCL_0332
Hs 600.T	No	Non-cancerous	Skin	Primary	Male	Fibroblast	CVCL_0814
Hs 606.T	No	Non-cancerous	Breast		Female, 44	Fibroblast	CVCL_0819
Hs 611.T	Yes	Lymphoma	B-cell, Hodgkins		Female, 48	Haematopoietic and lymphoid tissue	CVCL_0823
Hs 616.T	No	Non-cancerous	Lymphoma		Male, 16	Fibroblast	CVCL_0825
Hs 618.T	No	Non-cancerous	Lung	Primary	Female, 60	Fibroblast	CVCL_0827
Hs 675.T	No	Non-cancerous	Colorectal		Male	Fibroblast	CVCL_0836
Hs 683	Yes	Brain cancer	Oligodendroglioma	Primary	Male, 76	Central nervous system	CVCL_0844
Hs 688(A).T	No	Non-cancerous	Skin	Primary	Male, 69	Fibroblast	CVCL_0846
Hs 695T	Yes	Skin cancer	Melanoma, amelanotic	Metastasis	Male, 26	Lymph node	CVCL_0851
Hs 698.T	No	Non-cancerous	Colorectal	Metastasis	Male, 70	Soft tissue	CVCL_0855
Hs 706.T	No	Non-cancerous	Bone		Female, 16	Fibroblast	CVCL_0863
Hs 729.T	No	Uncategorized	Soft tissue	Primary	Male, 74		CVCL_0871
