Cell line	Cancer cell line	Primary disease	Disease subtype	Primary/Metastasis	Patient	Sample collection site	Cellosaurus ID
PaTu 8902	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Female, 44	Pancreas	CVCL_1845
PaTu 8988s	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Female, 64	Liver	CVCL_1846
PaTu 8988t	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Female, 64	Liver	CVCL_1847
PC-14	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 45	Lung	CVCL_1640
PC-3	Yes	Prostate cancer		Metastasis	Male, 62	Bone	CVCL_0035
PC-9	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma		Male, 45	Lung	CVCL_B260
PE/CA-PJ15	Yes	Head and Neck cancer	Squamous Cell Carcinoma, oral	Primary	Male, 45	Upper aerodigestive tract	CVCL_2678
PE/CA-PJ34 (clone C12)	Yes	Head and Neck cancer	Squamous Cell Carcinoma, basaloid	Primary	Male, 60	Upper aerodigestive tract	CVCL_2679
PE/CA-PJ41 (clone D2)	Yes	Head and Neck cancer	Squamous Cell Carcinoma, oral	Primary	Female, 67	Upper aerodigestive tract	CVCL_2680
PE/CA-PJ49	Yes	Head and Neck cancer	Squamous Cell Carcinoma, oral	Primary	Male, 57	Upper aerodigestive tract	CVCL_2681
Peer	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell		Female, 4	Haematopoietic and lymphoid tissue	CVCL_1913
PEO1	Yes	Ovarian cancer	Cystadenocarcinoma	Metastasis		Ascites	CVCL_2686
PF-382	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell		Female, 6	Pleural effusion	CVCL_1641
Pfeiffer	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis	Male	Pleural effusion	CVCL_3326
PK-1	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Male	Liver	CVCL_4717
PK-45H	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Female	Pancreas	CVCL_6748
PK-45P	Yes	Pancreatic cancer					CVCL_6749
PK-59	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Female, 66	Liver	CVCL_4897
PK-8	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis		Liver	CVCL_4718
PL-21	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)		Male, 24	Haematopoietic and lymphoid tissue	CVCL_2161
PL45	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine		81	Pancreas	CVCL_3567
PLB-985	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)	Primary	Female, 35	Haematopoietic and lymphoid tissue	CVCL_2162
PLC/PRF/5	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 24	Liver	CVCL_0485
PODO/SVTERT152	No	Non-cancerous			Male, 41		CVCL_B5ST
PODO/TERT256	No	Non-cancerous			Female		CVCL_JL76
PrEC LH	No	Non-cancerous			Male	Prostate	CVCL_V626
PSN1	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Male, 36	Pancreas	CVCL_1644
QGP-1	Yes	Pancreatic cancer	Somatostatinoma	Primary	Male, 61	Pancreas	CVCL_3143
Raji	Yes	Lymphoma	B-cell, Non-Hodgkins, Burkitts		Male, 11	Bone	CVCL_0511
Ramos	Yes	Lymphoma	B-cell, Non-Hodgkins, Burkitts	Primary	3	Ascites	CVCL_0597
RC-K8	Yes	Lymphoma	B-cell	Primary	55	Ascites	CVCL_1883
RCC10RGB	Yes	Kidney cancer	Renal Cell Carcinoma	Primary	Male	Kidney	CVCL_1647
RCH-ACV	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell		Female, 8	Bone marrow	CVCL_1851
RCM-1 [Human rectal adenocarcinoma]	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 73	Large intestine	CVCL_1648
RD	Yes	Sarcoma	Rhabdomyosarcoma, embryonal	Primary	Female, 7	Soft tissue	CVCL_1649
RD-ES	Yes	Bone cancer	Ewings Sarcoma	Primary	Male, 19	Bone	CVCL_2169
REC-1	Yes	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell		Male, 61	Lymph node	CVCL_1884
REH	Yes	Leukemia		Primary	Female, 15	Haematopoietic and lymphoid tissue	CVCL_1650
RERF-GC-1B	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Male, 41	Lymph node	CVCL_3152
RERF-LC-A1	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Metastasis	Male	Pleural effusion	CVCL_4402
RERF-LC-Ad1	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 70	Lung	CVCL_1651
RERF-LC-Ad2	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male	Lung	CVCL_1652
RERF-LC-KJ	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 78	Lung	CVCL_1654
RERF-LC-MS	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male	Lung	CVCL_1655
RERF-LC-OK	Yes	Lung cancer					CVCL_3154
RERF-LC-Sq1	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Female, 74	Lung	CVCL_1656
Rh18	Yes	Sarcoma	Rhabdomyosarcoma		Female, 2	Soft tissue	CVCL_1659
Rh30	Yes	Sarcoma		Metastasis	Male, 17	Bone marrow	CVCL_0041
Rh41	Yes	Sarcoma	Rhabdomyosarcoma, alveolar	Metastasis	Female, 7	Liver	CVCL_2176
Ri-1	Yes	Lymphoma	B-cell, Non-Hodgkins		Female, 57	Haematopoietic and lymphoid tissue	CVCL_1885
RKN	Yes	Sarcoma	Leiomyosarcoma	Primary	Female, 45	Ovary	CVCL_3156
RKO	Yes	Colorectal cancer	Adenocarcinoma	Primary		Colon	CVCL_0504
RL	Yes	Lymphoma	B-cell, Non-Hodgkins		Male, 52	Ascites	CVCL_1660
RL95-2	Yes	Uterine cancer	Endometrial Adenosquamous Carcinoma	Primary	Female, 65	Endometrium	CVCL_0505
RMG-I	Yes	Ovarian cancer	Adenocarcinoma, clear cell	Metastasis	Female, 34	Ascites	CVCL_1662
RMUG-S	Yes	Ovarian cancer	Cystadenocarcinoma, mucinous	Primary	Female, 62	Ovary	CVCL_3158
RPMI-2650	Yes	Head and Neck cancer	Squamous Cell Carcinoma	Metastasis	52	Pleural_effusion	CVCL_1664
RPMI-7951	Yes	Skin cancer	Melanoma	Metastasis	Female, 18	Lymph node	CVCL_1666
RPMI-8226	Yes	Myeloma		Primary	Male, 61	Haematopoietic and lymphoid tissue	CVCL_0014
RPMI-8402	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell		Female, 16	Haematopoietic and lymphoid tissue	CVCL_1667
RPTEC/TERT1	No	Non-cancerous			Male		CVCL_K278
RS-5	No	Non-cancerous	Lung		Male, 78	Fibroblast	CVCL_2182
RS4;11	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	Primary	Female, 32	Bone marrow	CVCL_0093
RT-112	Yes	Bladder cancer	Transitional Cell Carcinoma	Primary	Female	Urinary tract	CVCL_1670
RT-4	Yes	Bladder cancer		Primary	Male, 63	Urinary tract	CVCL_0036
RVH-421	Yes	Skin cancer	Melanoma	Metastasis	Male, 28	Central nervous system	CVCL_1672
S-117	Yes	Sarcoma	Thyroid Sarcoma		Female, 47	Soft tissue	CVCL_1674
SALE	No	Non-cancerous			Male	Lung	CVCL_WS60
SaOS-2	Yes	Bone cancer	Osteosarcoma	Primary	Female, 11	Bone	CVCL_0548
SBC-5	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 65	Pleural effusion	CVCL_1679
Sc-1	Yes	Lymphoma	B-cell, Non-Hodgkins, Follicular		67	Ascites	CVCL_1888
SCaBER	Yes	Bladder cancer	Squamous Cell Carcinoma	Primary	Male, 58	Urinary tract	CVCL_3599
SCC-15	Yes	Head and Neck cancer	Squamous Cell Carcinoma		Male, 55	Upper aerodigestive tract	CVCL_1681
SCC-25	Yes	Head and Neck cancer	Squamous Cell Carcinoma	Primary	Male, 70	Upper aerodigestive tract	CVCL_1682
SCC-3	Yes	Lymphoma	B-cell, Non-Hodgkins	Primary	20	Pleural_effusion	CVCL_1683
SCC-4	Yes	Head and Neck cancer	Squamous Cell Carcinoma, oral	Primary	Male, 55	Upper aerodigestive tract	CVCL_1684
SCC-9	Yes	Head and Neck cancer	Squamous Cell Carcinoma	Primary	Male, 25	Upper aerodigestive tract	CVCL_1685
SCLC-21H	Yes	Lung cancer		Metastasis	Male, 46	Pleural effusion	CVCL_0024
SCLC-22H	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	46	Pleural_effusion	CVCL_2186
SEM	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	Primary	Female, 5	Haematopoietic and lymphoid tissue	CVCL_0095
SET-2	Yes	Leukemia	Acute Myelogenous Leukemia (AML)		Female, 71	Haematopoietic and lymphoid tissue	CVCL_2187
SF126	Yes	Brain cancer	Astrocytoma	Primary	Female, 50	Central nervous system	CVCL_1688
SF172	Yes	Brain cancer	Glioblastoma		Female, 36	Central nervous system	CVCL_V613
SF268	Yes	Brain cancer	Glioma	Primary	Male, 24	Central nervous system	CVCL_1689
SF295	Yes	Brain cancer	Glioblastoma	Primary	Female, 67	Central nervous system	CVCL_1690
SF539	Yes	Brain cancer	Glioma	Primary	Female, 34	Central nervous system	CVCL_1691
SF767	Yes	Cervical cancer	Squamous Cell Carcinoma	Metastasis	Female, 66	Abdomen	CVCL_6950
SH-10-TC	Yes	Gastric cancer	Adenocarcinoma, mucinous	Primary	Female	Stomach	CVCL_5167
SH-4	Yes	Skin cancer	Melanoma	Metastasis	Female, 60	Pleural effusion	CVCL_1692
SH-SY5Y	Yes	Neuroblastoma		Metastasis	Female, 4	Bone marrow	CVCL_0019
SHP-77	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Primary	Male, 54	Lung	CVCL_1693
SIG-M5	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)		Male, 63	Bone marrow	CVCL_1694
SiHa	Yes	Cervical cancer			Female, 55	Cervix	CVCL_0032
SiMa	Yes	Neuroblastoma			Male, 1	Autonomic ganglia	CVCL_1695
SJSA-1	Yes	Bone cancer	Osteosarcoma	Primary	Male, 19	Bone	CVCL_1697
SK-BR-3	Yes	Breast cancer		Metastasis	Female, 43	Pleural effusion	CVCL_0033
SK-CO-1	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 65	Ascites	CVCL_0626
SK-ES-1	Yes	Bone cancer	Ewings Sarcoma	Primary	Male, 18	Bone	CVCL_0627
SK-HEP-1	Yes	Liver cancer	Hepatocellular Carcinoma	Metastasis	Male, 52	Ascites	CVCL_0525
SK-LMS-1	Yes	Sarcoma	Leiomyosarcoma	Primary	Female, 43	Soft tissue	CVCL_0628
SK-LU-1	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 60	Lung	CVCL_0629
SK-MEL-1	Yes	Skin cancer	Melanoma	Metastasis	Male, 29	Haematopoietic and lymphoid tissue	CVCL_0068
SK-MEL-2	Yes	Skin cancer	Melanoma	Metastasis	60	Skin	CVCL_0069
SK-MEL-23	Yes	Skin cancer					CVCL_6027
SK-MEL-24	Yes	Skin cancer	Melanoma	Metastasis	Male, 67	Lymph node	CVCL_0599
SK-MEL-28	Yes	Skin cancer	Melanoma		Male, 51	Skin	CVCL_0526
SK-MEL-3	Yes	Skin cancer	Melanoma	Metastasis	Female, 42	Lymph node	CVCL_0550
SK-MEL-30	Yes	Skin cancer		Metastasis	Male, 67	Skin	CVCL_0039
SK-MEL-31	Yes	Skin cancer	Melanoma	Primary	Female, 33	Skin	CVCL_0600
SK-MEL-5	Yes	Skin cancer	Melanoma	Metastasis	Female, 24	Lymph node	CVCL_0527
SK-MES-1	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Metastasis	Male, 65	Pleural effusion	CVCL_0630
SK-MM-2	Yes	Myeloma	Multiple Myeloma	Primary	Male, 54	Haematopoietic and lymphoid tissue	CVCL_1699
SK-N-AS	Yes	Neuroblastoma		Metastasis	Female, 6	Bone marrow	CVCL_1700
SK-N-BE(2)	Yes	Neuroblastoma		Metastasis	Male, 2	Bone marrow	CVCL_0528
SK-N-DZ	Yes	Neuroblastoma		Metastasis	Female, 2	Bone marrow	CVCL_1701
SK-N-FI	Yes	Neuroblastoma		Metastasis	Male, 11	Bone marrow	CVCL_1702
SK-N-MC	Yes	Bone cancer	Ewings Sarcoma	Metastasis	Female, 14	Bone	CVCL_0530
SK-N-SH	Yes	Neuroblastoma		Metastasis	Female, 4	Bone marrow	CVCL_0531
SK-NEP-1	Yes	Bone cancer	Ewings Sarcoma	Metastasis	Female, 25	Pleural effusion	CVCL_0631
SK-OV-3	Yes	Ovarian cancer	Cystadenocarcinoma, endometrioid	Metastasis	Female, 64	Ascites	CVCL_0532
SK-PN-DW	Yes	Bone cancer	Ewings Sarcoma		Male, 17	Embryonal	CVCL_1703
SK-RC-20	Yes	Kidney cancer	Renal Cell Carcinoma		Male, 46	Kidney	CVCL_V605
SK-UT-1	Yes	Sarcoma	Leiomyosarcoma	Primary	Female, 75	Endometrium	CVCL_0533
SKM-1	Yes	Leukemia	Acute Myelogenous Leukemia (AML)	Primary	Male, 76	Haematopoietic and lymphoid tissue	CVCL_0098
SKNO-1	Yes	Leukemia	Acute Myelogenous Leukemia (AML)	Metastasis	Male, 22	Bone marrow	CVCL_2196
SLR20	Yes	Bladder cancer	Carcinoma	Primary	Female, 81	Urinary tract	CVCL_V606
SLR21	Yes	Kidney cancer	Renal Cell Carcinoma	Metastasis	Female	Kidney	CVCL_V607
SLR23	Yes	Kidney cancer	Renal Cell Carcinoma	Metastasis	Female	Kidney	CVCL_V609
SLR24	Yes	Kidney cancer	Renal Carcinoma, clear cell	Primary	Female	Kidney	CVCL_V610
SLR25	Yes	Kidney cancer	Renal Cell Carcinoma	Metastasis	Female	Kidney	CVCL_V611
SLR26	Yes	Kidney cancer	Renal Cell Carcinoma	Primary	Male	Kidney	CVCL_V612
SNB-75	Yes	Brain cancer	Glioma	Primary	Female, 75	Central nervous system	CVCL_1706
SNG-M	Yes	Uterine cancer	Endometrial Adenocarcinoma	Metastasis	Female, 52	Lymph node	CVCL_1707
SNU-1	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Male, 44	Stomach	CVCL_0099
SNU-1033	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 45	Large intestine	CVCL_5002
SNU-1040	Yes	Colorectal cancer	Adenocarcinoma		Male, 34	Colon	CVCL_5003
SNU-1041	Yes	Head and Neck cancer	Squamous Cell Carcinoma, hypopharyngeal		Male, 58	Upper aerodigestive tract	CVCL_L085
SNU-1066	Yes	Head and Neck cancer	Squamous Cell Carcinoma		Male, 62	Upper aerodigestive tract	CVCL_5005
SNU-1076	Yes	Head and Neck cancer	Squamous Cell Carcinoma, laryngeal		Male, 60	Upper aerodigestive tract	CVCL_5006
SNU-1077	Yes	Uterine cancer	Mullerian Carcinoma	Primary	Female, 60	Endometrium	CVCL_5007
SNU-1079	Yes	Bile duct cancer	Cholangiocarcinoma, intrahepatic		Male	Biliary tract	CVCL_5008
SNU-1105	Yes	Brain cancer	Glioblastoma	Primary	Male, 61	Central nervous system	CVCL_5010
SNU-119	Yes	Ovarian cancer	Cystadenocarcinoma, high grade serous	Metastasis	Female, 50	Ascites	CVCL_5014
SNU-1196	Yes	Bile duct cancer	Cholangiocarcinoma, extrahepatic		Female	Biliary tract	CVCL_5015
SNU-1197	Yes	Colorectal cancer	Adenocarcinoma	Primary	Male, 70	Colon	CVCL_5016
SNU-1214	Yes	Head and Neck cancer	Squamous Cell Carcinoma, laryngeal		Male, 55	Upper aerodigestive tract	CVCL_5017
SNU-1272	Yes	Kidney cancer	Renal Carcinoma, clear cell		Female, 63	Kidney	CVCL_8788
SNU-16	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Female, 33	Ascites	CVCL_0076
SNU-175	Yes	Colorectal cancer	Adenocarcinoma, mucinous	Metastasis	Female, 56	Abdomen	CVCL_5031
SNU-182	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 24	Liver	CVCL_0090
SNU-201	Yes	Brain cancer	Glioblastoma	Primary	Male, 58	Central nervous system	CVCL_5033
SNU-213	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine		Male, 65	Pancreas	CVCL_5034
SNU-216	Yes	Gastric cancer	Adenocarcinoma, tubular	Metastasis	Female, 46	Lymph node	CVCL_3946
SNU-245	Yes	Bile duct cancer	Cholangiocarcinoma, extrahepatic		Female	Biliary tract	CVCL_5038
SNU-283	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Female, 62	Abdomen	CVCL_5044
SNU-308	Yes	Gallbladder cancer	Adenocarcinoma		Female	Biliary tract	CVCL_5048
SNU-324	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine		Male, 50	Pancreas	CVCL_5051
SNU-349	Yes	Kidney cancer	Renal Carcinoma, clear cell	Primary	Male, 68	Kidney	CVCL_5054
SNU-387	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Female, 41	Liver	CVCL_0250
SNU-398	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 42	Liver	CVCL_0077
SNU-407	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 37	Soft tissue	CVCL_5058
SNU-410	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Male, 53	Liver	CVCL_5059
SNU-423	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 40	Liver	CVCL_0366
SNU-449	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 52	Liver	CVCL_0454
SNU-46	Yes	Head and Neck cancer	Squamous Cell Carcinoma, laryngeal		Male, 65	Upper aerodigestive tract	CVCL_5063
SNU-466	Yes	Brain cancer	Glioblastoma		Male, 61	Central nervous system	CVCL_5064
SNU-475	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 43	Liver	CVCL_0497
SNU-478	Yes	Bile duct cancer	Cholangiocarcinoma, extrahepatic		Female	Biliary tract	CVCL_5065
SNU-484	Yes	Gastric cancer	Adenocarcinoma	Primary		Stomach	CVCL_0100
SNU-489	Yes	Brain cancer	Glioblastoma		Male, 54	Central nervous system	CVCL_5069
SNU-5	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Female, 33	Ascites	CVCL_0078
SNU-503	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 52	Abdomen	CVCL_5071
SNU-520	Yes	Gastric cancer	Adenocarcinoma	Primary	Female, 60	Stomach	CVCL_5072
SNU-601	Yes	Gastric cancer	Adenocarcinoma, signet ring cell	Metastasis	Male, 34	Ascites	CVCL_0101
SNU-61	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 48	Liver	CVCL_5078
SNU-620	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Female, 59	Ascites	CVCL_5079
SNU-626	Yes	Brain cancer	Glioblastoma		Male, 65	Central nervous system	CVCL_5080
SNU-638	Yes	Gastric cancer	Adenocarcinoma	Metastasis	48	Ascites	CVCL_0102
SNU-668	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Male, 63	Ascites	CVCL_5081
SNU-685	Yes	Uterine cancer	Malignant Mixed Mullerian Tumor (MMMT)	Primary	Female, 70	Endometrium	CVCL_5083
SNU-719	Yes	Gastric cancer	Adenocarcinoma, tubular	Primary	Male, 53	Stomach	CVCL_5086
SNU-738	Yes	Brain cancer	Oligodendroglioma		Male, 40	Central nervous system	CVCL_5087
SNU-761	Yes	Liver cancer	Hepatocellular Carcinoma		Male, 49	Liver	CVCL_5089
SNU-8	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Metastasis	Female, 55	Ascites	CVCL_5096
SNU-81	Yes	Colorectal cancer	Adenocarcinoma		Male, 53	Colon	CVCL_5098
SNU-840	Yes	Ovarian cancer	Carcinoma, brenner	Primary	Female, 45	Ovary	CVCL_5100
SNU-869	Yes	Bile duct cancer	Cholangiocarcinoma, extrahepatic		Female	Biliary tract	CVCL_5101
SNU-878	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Female, 54	Liver	CVCL_5102
SNU-886	Yes	Liver cancer	Hepatocellular Carcinoma		Male, 57	Liver	CVCL_5103
SNU-899	Yes	Head and Neck cancer	Squamous Cell Carcinoma, laryngeal	Primary	Male, 56	Upper aerodigestive tract	CVCL_5105
SNU-C1	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 71	Abdomen	CVCL_1708
SNU-C2A	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 43	Large intestine	CVCL_1709
SNU-C4	Yes	Colorectal cancer	Adenocarcinoma		Male, 35	Large intestine	CVCL_5111
SNU-C5	Yes	Colorectal cancer	Adenocarcinoma		Female, 77	Colon	CVCL_5112
Sq-1	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Male	Lung	CVCL_4900
SR	Yes	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)	Primary	Male, 11	Pleural effusion	CVCL_1711
ST486	Yes	Lymphoma	B-cell, Non-Hodgkins, Burkitts		Female	Ascites	CVCL_1712
STM91-01	Yes	Rhabdoid	Malignant Rhabdoid Tumor	Metastasis	Male, 0	Lung	CVCL_8000
SU-DHL-1	Yes	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)		Male, 10	Pleural effusion	CVCL_0538
SU-DHL-10	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis	Male, 25	Pleural effusion	CVCL_1889
SU-DHL-16	Yes	Lymphoma	B-cell, Non-Hodgkins			Pleural_effusion	CVCL_1890
SU-DHL-4	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis	Male, 38	Pleural effusion	CVCL_0539
SU-DHL-5	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Primary	Female, 17	Lymph node	CVCL_1735
SU-DHL-6	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis	Male, 43	Ascites	CVCL_2206
SU-DHL-8	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis	Male, 59	Pleural effusion	CVCL_2207
SU.86.86	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Female, 57	Liver	CVCL_3881
SUIT-2	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Male, 73	Liver	CVCL_3172
SUM1315MO2	Yes	Breast cancer	Breast Ductal Carcinoma	Metastasis		Skin	CVCL_5589
SUM149PT	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	40	Breast	CVCL_3422
SUM159PT	Yes	Breast cancer	Carcinoma	Primary	71	Breast	CVCL_5423
SUM52PE	Yes	Breast cancer	Carcinoma	Metastasis		Pleural_effusion	CVCL_3425
SUP-B15	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	Primary	Male, 9	Bone marrow	CVCL_0103
SUP-M2	Yes	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)		Female, 5	Central nervous system	CVCL_2209
SUP-T1	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	Metastasis	Male, 8	Pleural effusion	CVCL_1714
SUP-T11	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell		Male, 74	Bone marrow	CVCL_2210
SuSa	Yes	Testis cancer		Primary	Male, 30	Embryonal	CVCL_L280
SW1088	Yes	Brain cancer	Astrocytoma	Primary	Male, 72	Central nervous system	CVCL_1715
SW1116	Yes	Colorectal cancer	Adenocarcinoma	Primary	Male, 73	Colon	CVCL_0544
SW1271	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Primary	Male, 69	Lung	CVCL_1716
SW1353	Yes	Bone cancer	Chondrosarcoma	Primary	Female, 72	Bone	CVCL_0543
SW1417	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 53	Colon	CVCL_1717
SW1463	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 66	Large intestine	CVCL_1718
SW1573	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 44	Lung	CVCL_1720
SW1710	Yes	Bladder cancer	Transitional Cell Carcinoma	Primary	Female, 84	Urinary tract	CVCL_1721
SW1783	Yes	Brain cancer	Astrocytoma	Primary	Male, 68	Central nervous system	CVCL_1722
SW1990	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Male, 56	Spleen	CVCL_1723
SW403	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 51	Colon	CVCL_0545
SW48	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 83	Colon	CVCL_1724
SW480	Yes	Colorectal cancer	Adenocarcinoma	Primary	Male, 51	Lymph node	CVCL_0546
SW579	Yes	Thyroid cancer	Squamous Cell Carcinoma	Primary	Male, 59	Thyroid	CVCL_3603
SW620	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 51	Lymph node	CVCL_0547
SW780	Yes	Bladder cancer	Transitional Cell Carcinoma	Primary	Female, 80	Urinary tract	CVCL_1728
SW837	Yes	Colorectal cancer	Adenocarcinoma	Primary	Male, 53	Large intestine	CVCL_1729
SW900	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Male, 53	Lung	CVCL_1731
SW948	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 81	Colon	CVCL_0632
SW982	Yes	Sarcoma	Synovial		25	Soft_tissue	CVCL_1734
T-47d	Yes	Breast cancer		Metastasis	Female, 54	Pleural effusion	CVCL_0553
T.T	Yes	Esophageal cancer	Squamous Cell Carcinoma	Metastasis	Male, 67	Bone	CVCL_3174
T1-73	No	Non-cancerous	Bone		Female	Fibroblast	CVCL_3605
T24	Yes	Bladder cancer	Carcinoma	Primary	Female, 82	Urinary tract	CVCL_0554
T3M-10	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Metastasis	Male, 40	Lung	CVCL_8067
T3M-4	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Male, 64	Lymph node	CVCL_4056
T84	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 72	Lung	CVCL_0555
T98G	Yes	Brain cancer	Glioblastoma	Primary	Male, 61	Central nervous system	CVCL_0556
TALL-1 [Human adult T-ALL]	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	Primary	Male, 28	Bone marrow	CVCL_1736
TC-71	Yes	Bone cancer	Ewings Sarcoma	Primary	Male, 22	Bone	CVCL_2213
TCC-Pan2	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Female, 47	Ascites	CVCL_3178
TCCSUP	Yes	Bladder cancer	Transitional Cell Carcinoma	Primary	Female, 67	Urinary tract	CVCL_1738
